jday,month,day,hour,u10,v10,mixht,precip,tempc,year,datetime,ws,wd,wd_category_8,wd_category_4,ws_category,mixht_category,tempc_category,total_hours,percentage_wd_8,percentage_wd_4,percentage_ws,percentage_mixht,percentage_tempc
4,Jan,4,19,0.755,-0.09,16.099,0.0,12.118,2018,2018-01-04 19:30:00,0.7603453162872774,276.79788250028633,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,4,20,0.725,-0.159,16.021,0.0,10.91,2018,2018-01-04 20:30:00,0.7422304224430578,282.3697229490656,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,4,21,0.693,-0.146,15.961,0.0,9.926,2018,2018-01-04 21:30:00,0.7082125387198394,281.8969913650747,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,4,22,0.751,-0.119,15.907,0.0,9.043,2018,2018-01-04 22:30:00,0.7603696469481143,279.0039657500252,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,4,23,0.916,-0.066,15.86,0.0,8.25,2018,2018-01-04 23:30:00,0.9183746512181181,274.1211766075352,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,5,0,1.123,0.01,15.82,0.0,7.551,2018,2018-01-05 00:30:00,1.1230445227149277,269.48981063953056,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,5,1,1.123,0.138,15.787,0.0,6.954,2018,2018-01-05 01:30:00,1.1314473032359924,262.9943235147764,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,5,2,1.112,0.136,15.754,0.0,6.376,2018,2018-01-05 02:30:00,1.1202856778518595,263.02723071397355,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,5,3,1.098,-0.011,15.718,0.0,5.791,2018,2018-01-05 03:30:00,1.0980550987996915,270.57398223211095,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
4,Jan,5,4,0.965,-0.158,15.679,0.0,5.197,2018,2018-01-05 04:30:00,0.9778491703734272,279.2985653822799,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
5,Jan,5,5,0.732,-0.276,15.636,0.0,4.567,2018,2018-01-05 05:30:00,0.7823042886243179,290.6589100633075,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
5,Jan,5,6,0.573,-0.219,15.593,0.0,3.947,2018,2018-01-05 06:30:00,0.6134248120185553,290.91680380334276,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
5,Jan,5,7,0.621,-0.015,15.582,0.0,5.298,2018,2018-01-05 07:30:00,0.6211811330038928,271.38368696736853,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
5,Jan,5,8,0.823,0.22,34.861,0.0,10.733,2018,2018-01-05 08:30:00,0.8518972942790698,255.03392375341662,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
5,Jan,5,9,1.137,0.422,113.568,0.0,15.694,2018,2018-01-05 09:30:00,1.2127872855534065,249.63748350620614,W,W,<2,100-500,15-20,745,76.91275167785236,91.14093959731544,19.19463087248322,28.187919463087248,16.10738255033557
5,Jan,5,10,1.628,0.392,277.413,0.0,19.06,2018,2018-01-05 10:30:00,1.6745291875628803,256.4616795082321,W,W,<2,100-500,15-20,745,76.91275167785236,91.14093959731544,19.19463087248322,28.187919463087248,16.10738255033557
5,Jan,5,11,2.244,0.054,769.241,0.0,21.11,2018,2018-01-05 11:30:00,2.2446496385850514,268.6214906071574,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
5,Jan,5,12,2.665,-0.674,1051.098,0.0,22.234,2018,2018-01-05 12:30:00,2.7489090563348944,284.1929546674835,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
5,Jan,5,13,2.893,-1.31,1271.308,0.0,22.953,2018,2018-01-05 13:30:00,3.175775338401632,294.3618328270825,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
5,Jan,5,14,3.044,-1.71,1356.802,0.0,23.242,2018,2018-01-05 14:30:00,3.491423205513763,299.32557193693793,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
5,Jan,5,15,3.086,-1.847,1325.294,0.0,23.066,2018,2018-01-05 15:30:00,3.596498992075488,300.9009172587713,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
5,Jan,5,16,2.338,-1.398,1094.993,0.0,21.957,2018,2018-01-05 16:30:00,2.7240866359203775,300.87718528667733,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
5,Jan,5,17,1.892,-1.007,49.213,0.0,16.422,2018,2018-01-05 17:30:00,2.143294893382616,298.0237393033924,NW,W,2-4,<100,15-20,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,16.10738255033557
5,Jan,5,18,1.965,-1.204,16.239,0.0,14.3,2018,2018-01-05 18:30:00,2.304526198592674,301.4967449857122,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
